STIG ID,Enabled?,Manual?
PHTN-30-000070,:heavy_check_mark:,:x:
PHTN-30-000071,:heavy_check_mark:,:x:
PHTN-30-000072,:heavy_check_mark:,:x:
PHTN-30-000073,:heavy_check_mark:,:x:
PHTN-30-000074,:heavy_check_mark:,:x:
PHTN-30-000075,:heavy_check_mark:,:x:
PHTN-30-000076,:heavy_check_mark:,:x:
PHTN-30-000077,:heavy_check_mark:,:x:
PHTN-30-000078,:heavy_check_mark:,:x:
PHTN-30-000079,:heavy_check_mark:,:x:
PHTN-30-000080,:heavy_check_mark:,:x:
PHTN-30-000081,:heavy_check_mark:,:x:
PHTN-30-000082,:heavy_check_mark:,:x:
PHTN-30-000083,:heavy_check_mark:,:x:
PHTN-30-000084,:heavy_check_mark:,:x:
PHTN-30-000085,:heavy_check_mark:,:x:
PHTN-30-000086,:heavy_check_mark:,:x:
PHTN-30-000087,:heavy_check_mark:,:x:
PHTN-30-000088,:heavy_check_mark:,:x:
PHTN-30-000089,:heavy_check_mark:,:x:
PHTN-30-000090,:heavy_check_mark:,:x:
PHTN-30-000091,:heavy_check_mark:,:x:
PHTN-30-000092,:heavy_check_mark:,:x:
PHTN-30-000093,:heavy_check_mark:,:x:
PHTN-30-000094,:x:,:heavy_check_mark:
PHTN-30-000095,:heavy_check_mark:,:x:
PHTN-30-000096,:heavy_check_mark:,:x:
PHTN-30-000097,:heavy_check_mark:,:x:
PHTN-30-000098,:heavy_check_mark:,:x:
PHTN-30-000099,:heavy_check_mark:,:x:
PHTN-30-000100,:heavy_check_mark:,:x:
PHTN-30-000101,:heavy_check_mark:,:x:
PHTN-30-000102,:heavy_check_mark:,:x:
PHTN-30-000103,:heavy_check_mark:,:x:
PHTN-30-000104,:heavy_check_mark:,:x:
PHTN-30-000105,:heavy_check_mark:,:x:
PHTN-30-000106,:heavy_check_mark:,:x:
PHTN-30-000107,:heavy_check_mark:,:x:
PHTN-30-000108,:heavy_check_mark:,:x:
PHTN-30-000109,:heavy_check_mark:,:x:
PHTN-30-000110,:heavy_check_mark:,:x:
PHTN-30-000111,:heavy_check_mark:,:x:
PHTN-30-000112,:heavy_check_mark:,:x:
PHTN-30-000113,:heavy_check_mark:,:x:
PHTN-30-000114,:heavy_check_mark:,:x:
PHTN-30-000115,:heavy_check_mark:,:x:
PHTN-30-000117,:heavy_check_mark:,:x:
PHTN-30-000118,:heavy_check_mark:,:x:
PHTN-30-000119,:heavy_check_mark:,:x:
PHTN-30-000120,:heavy_check_mark:,:x:
