STIG ID,Enabled?,Manual?,Default U1d?
ESXI-70-000053,:heavy_check_mark:,:x:,
ESXI-70-000054,:x:,:heavy_check_mark:,
ESXI-70-000055,:heavy_check_mark:,:x:,
ESXI-70-000056,:x:,:heavy_check_mark:,
ESXI-70-000057,:x:,:heavy_check_mark:,
ESXI-70-000058,:heavy_check_mark:,:x:,
ESXI-70-000059,:x:,:heavy_check_mark:,
ESXI-70-000060,:x:,:heavy_check_mark:,
ESXI-70-000061,:x:,:heavy_check_mark:,
ESXI-70-000062,:heavy_check_mark:,:x:,
ESXI-70-000063,:x:,:heavy_check_mark:,
ESXI-70-000064,:x:,:heavy_check_mark:,
ESXI-70-000065,:x:,:heavy_check_mark:,
ESXI-70-000070,:x:,:heavy_check_mark:,
ESXI-70-000072,:x:,:heavy_check_mark:,
ESXI-70-000074,:heavy_check_mark:,:x:,
ESXI-70-000076,:x:,:heavy_check_mark:,
ESXI-70-000078,:x:,:heavy_check_mark:,
ESXI-70-000079,:heavy_check_mark:,:x:,
ESXI-70-000080,:heavy_check_mark:,:x:,
ESXI-70-000081,:heavy_check_mark:,:x:,
ESXI-70-000082,:heavy_check_mark:,:x:,
ESXI-70-000083,:heavy_check_mark:,:x:,
ESXI-70-000086,:heavy_check_mark:,:x:,
ESXI-70-000088,:heavy_check_mark:,:x:,
ESXI-70-000089,:heavy_check_mark:,:x:,
ESXI-70-000090,:heavy_check_mark:,:x:,
ESXI-70-000092,:heavy_check_mark:,:x:,
ESXI-70-000093,:x:,:heavy_check_mark:,
VCSA-70-000001,:x:,:heavy_check_mark:,
VCSA-70-000003,:x:,:heavy_check_mark:,
VCSA-70-000004,:x:,:heavy_check_mark:,
VCSA-70-000005,:x:,:heavy_check_mark:,
VCSA-70-000007,:x:,:heavy_check_mark:,
VCSA-70-000009,:x:,:heavy_check_mark:,
VCSA-70-000012,:x:,:heavy_check_mark:,
VCSA-70-000013,:x:,:heavy_check_mark:,
VCSA-70-000014,:x:,:heavy_check_mark:,
VCSA-70-000015,:x:,:heavy_check_mark:,
VCSA-70-000016,:x:,:heavy_check_mark:,
VCSA-70-000018,:x:,:heavy_check_mark:,
VCSA-70-000019,:x:,:heavy_check_mark:,
VCSA-70-000020,:x:,:heavy_check_mark:,
VCSA-70-000023,:heavy_check_mark:,:x:,
VCSA-70-000024,:heavy_check_mark:,:x:,
VCSA-70-000031,:x:,:heavy_check_mark:,
VCSA-70-000034,:x:,:heavy_check_mark:,
VCSA-70-000035,:x:,:heavy_check_mark:,
VCSA-70-000036,:heavy_check_mark:,:x:,
VCSA-70-000039,:x:,:heavy_check_mark:,
VCSA-70-000040,:x:,:heavy_check_mark:,
VCSA-70-000041,:x:,:heavy_check_mark:,
VCSA-70-000042,:x:,:heavy_check_mark:,
VCSA-70-000043,:x:,:heavy_check_mark:,
VCSA-70-000045,:x:,:heavy_check_mark:,
VCSA-70-000046,:x:,:heavy_check_mark:,
VCSA-70-000047,:x:,:heavy_check_mark:,
VCSA-70-000052,:x:,:heavy_check_mark:,
VCSA-70-000054,:x:,:heavy_check_mark:,
VCSA-70-000055,:x:,:heavy_check_mark:,
VCSA-70-000057,:x:,:heavy_check_mark:,
VCSA-70-000058,:x:,:heavy_check_mark:,
VCSA-70-000059,:x:,:heavy_check_mark:,
VCSA-70-000060,:x:,:heavy_check_mark:,
VCSA-70-000061,:x:,:heavy_check_mark:,
VCSA-70-000062,:x:,:heavy_check_mark:,
VCSA-70-000063,:x:,:heavy_check_mark:,
VCSA-70-000064,:x:,:heavy_check_mark:,
VCSA-70-000065,:x:,:heavy_check_mark:,
VCSA-70-000066,:x:,:heavy_check_mark:,
VCSA-70-000067,:x:,:heavy_check_mark:,
VCSA-70-000068,:x:,:heavy_check_mark:,
VCSA-70-000069,:x:,:heavy_check_mark:,
VCSA-70-000070,:x:,:heavy_check_mark:,
VCSA-70-000071,:x:,:heavy_check_mark:,
VCSA-70-000072,:x:,:heavy_check_mark:,
VCSA-70-000073,:x:,:heavy_check_mark:,
VCSA-70-000074,:x:,:heavy_check_mark:,
VCSA-70-000075,:heavy_check_mark:,:x:,
VCSA-70-000076,:x:,:heavy_check_mark:,
VCSA-70-000077,:x:,:heavy_check_mark:,
VCSA-70-000078,:heavy_check_mark:,:x:,
VCSA-70-000079,:x:,:heavy_check_mark:,
VCSA-70-000080,:x:,:heavy_check_mark:,
VMCH-70-000001,:heavy_check_mark:,:x:,
VMCH-70-000002,:heavy_check_mark:,:x:,
VMCH-70-000003,:heavy_check_mark:,:x:,
VMCH-70-000004,:heavy_check_mark:,:x:,
VMCH-70-000005,:heavy_check_mark:,:x:,
VMCH-70-000006,:x:,:heavy_check_mark:,
VMCH-70-000007,:heavy_check_mark:,:x:,
VMCH-70-000008,:x:,:heavy_check_mark:,
VMCH-70-000009,:x:,:heavy_check_mark:,
VMCH-70-000010,:x:,:heavy_check_mark:,
VMCH-70-000011,:x:,:heavy_check_mark:,
VMCH-70-000012,:x:,:heavy_check_mark:,
VMCH-70-000013,:heavy_check_mark:,:x:,
VMCH-70-000014,:heavy_check_mark:,:x:,
VMCH-70-000015,:heavy_check_mark:,:x:,
VMCH-70-000016,:heavy_check_mark:,:x:,
VMCH-70-000017,:heavy_check_mark:,:x:,
VMCH-70-000018,:x:,:heavy_check_mark:,
VMCH-70-000019,:x:,:heavy_check_mark:,
VMCH-70-000020,:x:,:heavy_check_mark:,
VMCH-70-000021,:x:,:heavy_check_mark:,
VMCH-70-000022,:heavy_check_mark:,:x:,
VMCH-70-000023,:heavy_check_mark:,:x:,
VMCH-70-000024,:x:,:heavy_check_mark:,
VMCH-70-000025,:x:,:heavy_check_mark:,
VMCH-70-000026,:heavy_check_mark:,:x:,
VMCH-70-000027,:heavy_check_mark:,:x:,
VMCH-70-000028,:x:,:heavy_check_mark:,
VMCH-70-000029,:x:,:heavy_check_mark:,
